name,name_hg38,n,TargetGene,category,EnhancerEffect.noAux.Rep1,EnhancerEffect.Aux.Rep1,EnhancerEffect.noAux.Rep2,EnhancerEffect.Aux.Rep2,EnhancerEffect.noAux.Rep3,EnhancerEffect.Aux.Rep3,EnhancerEffect.noAux.Rep4,EnhancerEffect.Aux.Rep4,EnhancerEffect.noAux,EnhancerEffect.Aux,ci95.EnhancerEffect.noAux.Rep1,ci95.EnhancerEffect.Aux.Rep1,ci95.EnhancerEffect.noAux.Rep2,ci95.EnhancerEffect.Aux.Rep2,ci95.EnhancerEffect.noAux,ci95.EnhancerEffect.Aux,CohesinDependence.Rep1,ci95.CohesinDependence.Rep1,CohesinDependence.Rep2,ci95.CohesinDependence.Rep2,CohesinDependence,ci95.CohesinDependence,pval.EnhancerEffect.noAux.Rep1,pval.EnhancerEffect.noAux.Rep2,pval.EnhancerEffect.noAux.Rep3,pval.EnhancerEffect.noAux.Rep4,pval.EnhancerEffect.noAux,pval.EnhancerEffect.Aux.Rep1,pval.EnhancerEffect.Aux.Rep2,pval.EnhancerEffect.Aux.Rep3,pval.EnhancerEffect.Aux.Rep4,pval.EnhancerEffect.Aux,pval.CohesinDependence.Rep1,pval.CohesinDependence.Rep2,pval.CohesinDependence,PowerToDetect.50%.CohesinDependence,adj.pval.EnhancerEffect.noAux.Rep1,adj.pval.EnhancerEffect.noAux.Rep2,adj.pval.EnhancerEffect.noAux.Rep3,adj.pval.EnhancerEffect.noAux.Rep4,adj.pval.EnhancerEffect.noAux,SCALE.normalized.observed.5Kb.noAux,SCALE.normalized.observed.5Kb.Aux,SCALE.normalized.expected.5Kb.noAux,SCALE.normalized.expected.5Kb.Aux,SCALE.normalized.oe.5Kb.noAux,SCALE.normalized.oe.5Kb.Aux,SCALE.normalized.observed.5Kb.Aux.scaled,SCALE.normalized.expected.5Kb.Aux.scaled,SCALE.normalized.oe.5Kb.Aux.scaled,DistanceToTSS.Kb,ABC.Score.noAux,ABC.Score.Aux,DistanceToCTCF,CTCFwithin5Kb,OverlapsCTCF,H3K27ac.RPM.values.noAux,H3K27ac.RPM.values.Aux,CTCF.H3K27acLow
chr11:68459168-68459668,chr11:68691700-68692200,13.0,CCND1,putative_enhancer,0.063506622949344,0.0195649916922629,-0.0052531346822682,0.0131079114356755,,,,,0.0291267441335378,0.0163364515639692,0.0897389990481409,0.1439751263637901,0.1276579132657893,0.173722074548741,0.104306194981963,0.1513568424201459,0.6919220266543074,1.3436055133973617,3.4952551625833426,-24.72426049899053,0.4391253794426419,2.969814738125472,0.2066731191558218,0.9002636067837707,,,0.54151326799362,0.6997642716944958,0.811997483040942,,,0.7323752606552272,0.3327270032127064,0.7864308000149117,0.7769073721744774,0.0029883563521442,0.6910210955583292,0.9895826346708728,,,0.8959427128135329,0.0,1.3564318418502808,0.0,0.7110334038734436,0.0,1.9076906442642207,0.9712592618742789,0.5091282567298381,1.3659825358457254,949.154,,,40735.0,False,False,0.0,0.0797831112078437,False
chr11:68518738-68519368,chr11:68751270-68751900,13.0,CCND1,putative_enhancer,0.028155416379498,0.0189185096520836,0.0332298777068403,0.0512130064859883,,,,,0.0306926470431691,0.0350657580690359,0.0659863729703056,0.0741947197564735,0.0626191523882189,0.0515865634968649,0.0565513514281548,0.0577563392033437,0.3280685535924258,1.41154827228843,-0.541173486637486,1.5714844538706525,-0.1424807387813773,1.3106081805021506,0.6261709001984337,0.4743711663489803,,,0.5106465365658867,0.7032192316631678,0.3237812883878179,,,0.4450010548762344,0.6568549295824782,0.5124922998339478,0.8348428203968916,0.0075182984092532,0.9381933700975524,0.871655742888415,,,0.8753618569505928,1.3273805379867554,1.536423921585083,0.4879736602306366,0.7164232730865479,2.720188856124878,2.144575595855713,1.1001407648829176,0.5129876179096653,1.5356016026747923,889.519,0.000736,0.00085,37368.0,False,False,5.815928961130918,3.5902400043529665,False
chr11:68543374-68544330,chr11:68775906-68776862,5.0,CCND1,putative_enhancer,0.0230871284101467,-0.0415861917764159,0.0124680850357678,-0.0163525502963448,,,,,0.0177776067229573,-0.0289693710363804,0.1852897434593856,0.1915956023903222,0.1980706991150371,0.13577301674417,0.1854921955460988,0.1530431054348766,2.8012717319204983,3.5714063412293706,2.3115526762476697,19.017799322302345,2.629542799986156,8.478431401034822,0.8162892509508287,0.8719050278490842,,,0.8302086152358237,0.6021532487544907,0.8396053404186258,,,0.6910802245137744,0.1990245685787817,0.8234078072925886,0.576087072250822,0.0021487857260123,0.959422797571454,0.9879533241613826,,,0.977180187164678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,864.72,0.000322,0.000502,12569.0,False,False,4.423382590155909,3.67002311556081,False
chr11:68548301-68548801,chr11:68780833-68781333,19.0,CCND1,putative_enhancer,-0.0681786038588995,-0.0144397116017576,-0.0165998017663498,0.0178162613383073,,,,,-0.0423892028126246,0.0016882748682748,0.1193318720738556,0.0976634628674278,0.0777255051610048,0.054621735544825,0.0956351224211536,0.0680206964529146,0.7882075785587851,-0.9836772323160392,2.073281572218739,-4.482739962184094,1.0398279457091364,-1.51742317969324,0.0567414859869996,0.6539647994610083,,,0.1973279778166135,0.7297433813132703,0.6843783551734561,,,0.9695536154026104,0.1337056032709512,0.376643603342193,0.195928158339942,0.0064200714339994,0.3749247555090357,0.9259612346908094,,,0.6844199629253973,1.4737597703933716,0.0,0.5189486742019653,0.0,2.839895248413086,0.0,0.0,0.0,0.0,860.021,0.000172,0.000138,7870.0,False,False,0.1638289848205892,0.1595662224156874,False
chr11:68565629-68566129,chr11:68798161-68798661,17.0,CCND1,putative_enhancer,-0.0178342817777738,-0.0724159353490746,-0.0051016613116118,-0.0437991816429904,,,,,-0.0114679715446928,-0.0581075584960325,0.1002039055809176,0.1035754578054806,0.0784480985739401,0.0839533677783089,0.0860434086609768,0.0893622416321206,-3.060490702761232,-3.445234231561171,-7.585278200122757,-9.6972622700564,-4.066943030820804,-3.458412761607233,0.5506456994093396,0.8879569124209961,,,0.687827709050519,0.1013523093718279,0.3318840099636163,,,0.1510122553842336,0.1008533153894887,0.1447781865654799,0.0349092276994059,0.0027950239777681,0.9264518871188844,0.9879533241613826,,,0.9647696370854824,2.411940336227417,0.0,0.5394887328147888,0.0,4.470788955688477,0.0,0.0,0.0,0.0,842.693,0.000171,0.000104,20.5,True,True,0.0,0.1595662224156874,True
chr11:68584381-68584881,chr11:68816913-68817413,8.0,CCND1,putative_enhancer,-0.0817509706886883,-0.051323136423278,-0.0452517727713446,-0.0298349772824201,,,,,-0.0635013717300164,-0.040579056852849,0.1065093483901121,0.0960022822882123,0.0884432253349157,0.0804316715320312,0.0894824567283117,0.0808871501720892,0.3722015042644688,-1.3253531807199903,0.3406893154622911,-1.9640898621386935,0.3609735388807704,-1.317092415772395,0.1258570698823196,0.4299079232691645,,,0.2059525129753431,0.414982373852703,0.6443083354738467,,,0.4819478153515472,0.5991411222895603,0.7438452741914016,0.607791242605498,0.0063174679748071,0.5761757616531245,0.8556487454570063,,,0.69988171575769,1.3785922527313232,1.5866572856903076,0.5661977529525757,0.7530979514122009,2.4348247051239014,2.106840372085572,1.1361098557262508,0.5392481493282296,1.508581678447967,823.941,,,14261.0,False,False,0.1638289848205892,0.0797831112078437,False
chr11:68593006-68593506,chr11:68825538-68826038,16.0,CCND1,putative_enhancer,-0.0397548618120942,-0.0934743354931482,-0.0150611542502398,-0.0758258359292787,,,,,-0.027408008031167,-0.0846500857112134,0.0901638720660296,0.0833983414031263,0.068063811979602,0.0809994263456794,0.074647024101355,0.0735465745309619,-1.351268026913662,-2.5690365259851045,-4.034530200636604,-4.2345520670892896,-2.088516524621318,-2.6620723546342204,0.2645935042827981,0.7051596407369517,,,0.4153042860863351,0.03819493723557,0.1039185117741932,,,0.0410066441614275,0.3189128631034867,0.0815084845180229,0.1449443703456576,0.0032928001884326,0.7443615398697435,0.9352212806708554,,,0.8251153466261756,1.325850009918213,0.0,0.5600056648254395,0.0,2.367565393447876,0.0,0.0,0.0,0.0,815.316,0.000377,0.000322,18255.0,False,False,0.4095724620514731,0.3989155560392185,False
chr11:68606607-68607107,chr11:68839139-68839639,20.0,CCND1,putative_enhancer,-0.0465844614229676,-0.0695290719579712,-0.0386013235328955,-0.0338782162425328,,,,,-0.0425928924779316,-0.051703644100252,0.0746394498502629,0.0786738594770433,0.0620682895724957,0.0683600528499553,0.0665303681908889,0.0701809506058293,-0.492537851337938,-1.3040704932375633,0.1223560970995653,-1.3370936180198518,-0.2139030972606738,-1.1682936382907754,0.1528780331596068,0.2914296909009672,,,0.1761063689267073,0.0864013966458537,0.4136464077425286,,,0.1641944407226202,0.4681814569225743,0.8595557734245531,0.7236590671367884,0.0103029411061952,0.6145091376460948,0.795129043564271,,,0.6621618039017536,0.0,4.021585464477539,0.0,0.7742851376533508,0.0,5.193933486938477,2.8796154803212866,0.5544190191315379,3.7190633905103945,801.715,0.000476,0.001473,4654.0,True,False,2.7031782495397225,3.0317582258980607,False
chr11:68607360-68607860,chr11:68839892-68840392,15.0,CCND1,putative_enhancer,-0.0153614556212568,-0.0029308116072062,0.0174205564088139,-0.0402565859384858,,,,,0.0010295503937785,-0.021593698772846,0.0697583568224738,0.0675621536869458,0.0602949721816709,0.0819588050046643,0.0615300934705875,0.0661019418788652,0.8092100332503243,-4.894861639262079,3.3108668284623737,4.005624258262121,21.973911430982696,55.46898872113636,0.6083544401694095,0.6922949743434859,,,0.9512976067851532,0.9487950529727596,0.3997147847184635,,,0.6086909308476551,0.7507101357476862,0.1275209522289286,0.4504033027804581,0.0020859271830081,0.9364284010576536,0.9346296298832204,,,0.9985012395314802,1.2020236253738403,1.4605860710144043,0.5919874906539917,0.7517666220664978,2.0304882526397705,1.942871689796448,1.0458378412159728,0.5382948644541034,1.3911735666526888,800.962,0.000213,0.000451,3901.0,True,False,2.2116912950779546,2.074360891403936,False
chr11:68608184-68608684,chr11:68840716-68841216,18.0,CCND1,putative_enhancer,-0.0185089863264114,-0.0054230334796504,0.0147987054988405,-0.0177996315703248,,,,,-0.0018551404137854,-0.0116113325249876,0.0704402415375424,0.0739888930687223,0.0710416599402053,0.121202769622378,0.0665932767475265,0.0939405489838306,0.7070053765228596,-3.0933987711214037,2.202783011778933,5.029668694466488,-5.259004676252324,-28.93968251785568,0.5223845853184234,0.7166446595178969,,,0.8828663323167266,0.8976592186235659,0.6868812613889607,,,0.7652197949192482,0.6598356541896081,0.4026142416679455,0.7260899213645531,0.0020932964590618,0.9264518871188844,0.9352212806708554,,,0.9837708692318944,1.2020236253738403,1.4605860710144043,0.5919874906539917,0.7517666220664978,2.0304882526397705,1.942871689796448,1.0458378412159728,0.5382948644541034,1.3911735666526888,800.138,0.000175,0.000371,3077.0,True,False,5.734014468720623,3.909372449184341,False
